編號,案類,發生(現)日期,發生時段,地點,icon
47,自行車竊盜,1040201,19~21,台北市松山區慶城街1-30號,wht_stars
48,自行車竊盜,1040204,19~21,台北市大同區星明里寧夏路1-30號,wht_stars
49,自行車竊盜,1040205,07~09,台北市北投區關渡里關渡路61-90號,wht_stars
50,自行車竊盜,1040205,16~18,台北市北投區榮光里致遠一路二段31-60號,wht_stars
51,自行車竊盜,1040205,19~21,台北市信義區長春里虎林街82巷31-60號,wht_stars
52,自行車竊盜,1040207,13~15,台北市士林區中山北路五段61-90號,wht_stars
53,自行車竊盜,1040210,10~12,台北市信義區安康里信義路五段象山捷運站,wht_stars
54,自行車竊盜,1040212,07~09,台北市文山區景慶里景福街223巷口,wht_stars
55,自行車竊盜,1040215,10~12,台北市北投區開明里中和街241-270號,wht_stars
56,自行車竊盜,1040215,13~15,台北市松山區南京東路五段211-240號,wht_stars
57,自行車竊盜,1040216,19~21,台北市大安區敦煌里仁愛路四段266巷,wht_stars
58,自行車竊盜,1040217,01~03,台北市文山區興得里興隆路三段211-240號,wht_stars
59,自行車竊盜,1040217,10~12,台北市大安區古莊里羅斯福路三段91-120號,wht_stars
60,自行車竊盜,1040218,07~09,台北市內湖區瑞光里瑞光路112巷58弄,wht_stars
61,自行車竊盜,1040218,22~24,台北市萬華區西門站,wht_stars
62,自行車竊盜,1040219,10~12,台北市信義區安康里虎林街164巷58弄1-30號,wht_stars
63,自行車竊盜,1040220,19~21,台北市北投區榮光里石牌路一段181-210號,wht_stars
64,自行車竊盜,1040222,13~15,台北市大安區辛亥路一段61-90號,wht_stars
65,自行車竊盜,1040222,13~15,台北市中山區圓山捷運站2號出口,wht_stars
66,自行車竊盜,1040225,04~06,台北市大安區黎孝里和平東路三段271-300號,wht_stars
67,自行車竊盜,1040225,10~12,台北市信義區基隆路二段31-60號,wht_stars
68,自行車竊盜,1040226,22~24,台北市文山區樟腳里木新路三段95巷31-60號,wht_stars
69,自行車竊盜,1040228,16~18,台北市南港區新富里忠孝東路七段631-660號,wht_stars
70,自行車竊盜,1040301,01~03,台北市大安區光信里5鄰光復南路421-450號,wht_stars
71,自行車竊盜,1040306,10~12,台北市文山區景華里三福街1-30號,wht_stars
72,自行車竊盜,1040306,13~15,台北市中山區錦州街331-360號,wht_stars
73,自行車竊盜,1040307,10~12,台北市松山區南京東路三段331-360號,wht_stars
74,自行車竊盜,1040308,07~09,台北市大安區法治里通化街181-210號,wht_stars
75,自行車竊盜,1040308,22~24,台北市南港區東明里家樂福前,wht_stars
76,自行車竊盜,1040314,13~15,台北市南港區合成里忠孝東路六段451-480號,wht_stars
77,自行車竊盜,1040315,04~06,台北市大安區古莊里羅斯福路二段101巷1-30號,wht_stars
78,自行車竊盜,1040315,07~09,台北市大安區和平東路一段151-180號,wht_stars
79,自行車竊盜,1040316,19~21,台北市大安區學府里羅斯福路四段1-30號,wht_stars
80,自行車竊盜,1040317,10~12,台北市大安區華聲里市民大路四段211-240號,wht_stars
81,自行車竊盜,1040318,07~09,台北市北投區清江里三合街二段481-510號,wht_stars
82,自行車竊盜,1040318,10~12,台北市松山區松河街91-120號,wht_stars
83,自行車竊盜,1040318,16~18,台北市大安區福住里新生南路二段1-30號,wht_stars
84,自行車竊盜,1040319,07~09,台北市南港區新富里研究院路一段31-60號,wht_stars
85,自行車竊盜,1040319,10~12,台北市士林區中山北路五段61-90號,wht_stars
86,自行車竊盜,1040320,10~12,台北市信義區忠孝東路五段391-420號,wht_stars
87,自行車竊盜,1040321,13~15,台北市大安區黎和里和平東路三段391-420號,wht_stars
88,自行車竊盜,1040322,16~18,台北市大安區古莊里羅斯福路二段101巷1-30號,wht_stars
89,自行車竊盜,1040323,10~12,台北市大安區敦安里敦化南路一段295巷31-60號,wht_stars
90,自行車竊盜,1040327,13~15,台北市中正區建國里博愛路121-150號,wht_stars
91,自行車竊盜,1040328,19~21,台北市中山區大直捷運站1號出口旁,wht_stars
92,自行車竊盜,1040329,10~12,台北市中正區水源里羅斯福路四段52巷16弄口,wht_stars
93,自行車竊盜,1040329,13~15,台北市中正區文盛里汀州路三段151-180號,wht_stars
94,自行車竊盜,1040329,16~18,台北市南港區東新里興南街64巷4弄1-30號,wht_stars
95,自行車竊盜,1040331,10~12,台北市萬華區艋舺大道181-210號,wht_stars
96,自行車竊盜,1040402,07~09,台北市大安區古莊里浦城街6巷1-30號,wht_stars
97,自行車竊盜,1040405,16~18,台北市中山區敬業三路121-150號,wht_stars
98,自行車竊盜,1040405,22~24,台北市內湖區湖元里舊宗路二段內湖運動公園,wht_stars
99,自行車竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241-270號,wht_stars
100,自行車竊盜,1040407,07~09,台北市大安區龍泉里師大路1-30號,wht_stars
101,自行車竊盜,1040408,22~24,台北市大安區敦安里8鄰安和路一段78巷1-30號,wht_stars
102,自行車竊盜,1040409,19~21,台北市北投區榮光里石牌路一段181-210號,wht_stars
103,自行車竊盜,1040410,04~06,台北市文山區萬祥里興隆路一段102巷1-30號,wht_stars
104,自行車竊盜,1040410,07~09,台北市大同區鄰江里酒泉街228巷,wht_stars
105,自行車竊盜,1040412,01~03,台北市大安區昌隆里忠孝東路三段217巷5弄1-30號,wht_stars
106,自行車竊盜,1040412,10~12,台北市文山區興邦里興隆路二段241-270號,wht_stars
107,自行車竊盜,1040414,10~12,台北市北投區福興里自強街5巷31-60號,wht_stars
108,自行車竊盜,1040415,07~09,台北市大同區建泰里南京西路91-120號,wht_stars
109,自行車竊盜,1040415,07~09,台北市萬華區東園街28巷1-30號,wht_stars
110,自行車竊盜,1040415,10~12,台北市大安區福住里永康街31-60號,wht_stars
111,自行車竊盜,1040415,13~15,台北市中山區農安街227巷31-60號,wht_stars
112,自行車竊盜,1040417,10~12,台北市士林區福德里福德路1-30號,wht_stars
113,自行車竊盜,1040420,01~03,台北市文山區興業里興隆路二段220巷31-60號,wht_stars
114,自行車竊盜,1040421,10~12,台北市大安區基隆路三段156巷,wht_stars
115,自行車竊盜,1040421,16~18,台北市文山區景東里景華街104巷口,wht_stars
116,自行車竊盜,1040426,04~06,台北市大同區雙連里重慶北路歸綏街,wht_stars
117,自行車竊盜,1040427,13~15,台北市大安區龍門里建國南路二段241-270號,wht_stars
118,自行車竊盜,1040427,13~15,台北市南港區聯成里忠孝東路六段301-330號,wht_stars
119,自行車竊盜,1040428,10~12,台北市信義區永吉路331-360號,wht_stars
120,自行車竊盜,1040501,01~03,台北市大安區德安里四維路76巷,wht_stars
121,自行車竊盜,1040501,16~18,台北市大安區福住里新生南路二段31-60號,wht_stars
122,自行車竊盜,1040501,22~24,台北市信義區六合里信義路五段150巷271-300號,wht_stars
123,自行車竊盜,1040503,13~15,台北市松山區撫遠街391-420號,wht_stars
124,自行車竊盜,1040503,19~21,台北市中正區黎明里市民大道,wht_stars
125,自行車竊盜,1040507,19~21,台北市文山區樟文里忠順街一段1-30號,wht_stars
126,自行車竊盜,1040507,22~24,台北市文山區樟樹里木新路三段151-180號,wht_stars
127,自行車竊盜,1040509,13~15,台北市士林區蘭雅里德行東路109巷61-90號,wht_stars
128,自行車竊盜,1040509,19~21,台北市中正區臺大醫院捷運站,wht_stars
129,自行車竊盜,1040510,10~12,台北市士林區義信里中山北路五段61-90號,wht_stars
130,自行車竊盜,1040510,13~15,台北市信義區松友里信義路六段72巷2弄31-60號,wht_stars
131,自行車竊盜,1040510,22~24,台北市萬華區青年路106巷1-30號,wht_stars
132,自行車竊盜,1040511,04~06,台北市文山區興邦里興隆路二段181-210號,wht_stars
133,自行車竊盜,1040513,10~12,台北市萬華區貴陽街151-180號,wht_stars
134,自行車竊盜,1040516,22~24,台北市大安區龍門里新生南路二段1-30號,wht_stars
135,自行車竊盜,1040517,16~18,台北市中正區文祥里金山南路一段101巷1-30號,wht_stars
136,自行車竊盜,1040517,16~18,台北市大同區大龍街1-30號,wht_stars
137,自行車竊盜,1040518,16~18,台北市信義區安康里松德路興雅國中校門口,wht_stars
138,自行車竊盜,1040519,19~21,台北市士林區義信里中山北路五段61-90號,wht_stars
139,自行車竊盜,1040520,07~09,台北市大安區龍圖里信義路三段181-210號,wht_stars
140,自行車竊盜,1040521,13~15,台北市中正區中正紀念堂,wht_stars
141,自行車竊盜,1040526,07~09,台北市中山區撫順公園,wht_stars
142,自行車竊盜,1040527,16~18,台北市內湖區港墘里內湖路一段629巷31-60號,wht_stars
143,自行車竊盜,1040528,13~15,台北市士林區中山北路五段61-90號,wht_stars
144,自行車竊盜,1040529,01~03,台北市中正區黎明里武昌街一段1-30號,wht_stars
145,自行車竊盜,1040529,04~06,台北市文山區萬興里指南路二段1-30號,wht_stars
146,自行車竊盜,1040529,07~09,台北市文山區木柵里木柵路三段85巷14弄1-30號,wht_stars
147,自行車竊盜,1040530,10~12,台北市松山區民生東路五段36巷6弄1-30號,wht_stars
148,自行車竊盜,1040530,16~18,台北市北投區吉利里致遠二路61-90號,wht_stars
149,自行車竊盜,1040601,01~03,台北市大同區建泰里南京西路18巷1-30號,wht_stars
150,自行車竊盜,1040601,04~06,台北市大安區芳和里樂業街94巷1-30號,wht_stars
151,自行車竊盜,1040602,13~15,台北市北投區泉源里東昇路91-120號,wht_stars
152,自行車竊盜,1040603,10~12,台北市大安區學府里16鄰羅斯福路四段1-30號,wht_stars
153,自行車竊盜,1040604,07~09,台北市北投區立農里立農街一段279巷2弄1-30號,wht_stars
154,自行車竊盜,1040604,13~15,台北市信義區廣居里忠孝東路五段451-480號,wht_stars
155,自行車竊盜,1040604,22~24,台北市中正區幸福里忠孝東路一段84巷,wht_stars
156,自行車竊盜,1040605,04~06,台北市大安區光明里杭州南路二段9巷1-30號,wht_stars
157,自行車竊盜,1040606,01~03,台北市大安區錦安里7鄰金山南路二段185巷1-30號,wht_stars
158,自行車竊盜,1040607,10~12,台北市北投區關渡里知行路301-330號,wht_stars
159,自行車竊盜,1040609,01~03,台北市士林區社園里延平北路六段151-180號,wht_stars
160,自行車竊盜,1040609,04~06,台北市內湖區康樂街136巷29弄31-60號,wht_stars
